Field=Comment~String~Comment~172|Field=Designator~String~Designator~239|Field=Description~String~Description~114|Field=Footprint~String~Footprint~381|Field=Quantity~Integer~Quantity~271|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Avalon2.PrjPCB|ReportField=ProjectFullPath~D:\AProj\Avalon2\Avalon2.PrjPCB|ReportField=Title~Bill of Materials For Schematic Document [Avalon2.SchDoc]|ReportField=TotalQuantity~420|ReportField=ReportTime~10:52:25|ReportField=ReportDate~8.11.2013 „.|ReportField=ReportDateTime~8.11.2013 „. 10:52:25|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8.11.2013 „.|ReportField=CurrentTime~10:52:20|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\AProj\Avalon2\Avalon2.SchDoc|ReportField=DocumentName~Avalon2.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2.11.2013 „.|ReportField=Organization~|ReportField=ProjectName~Avalon2.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Avalon2.SchDoc|ReportField=DataSourceFullPath~D:\AProj\Avalon2\Avalon2.SchDoc
(OPT) CON PROGRAM|J1|Connector|SIP5 PGM TOP|1
(OPT)0|R42, R62|Resistor|SMD_0603_RESC1608X55N|2
(OPT)74AUP1G02GW|U2||SMD_SOT353_SOT65P210X110-5AN|1
(OPT)74HC02|U3||SMD_SOIC127P600X175-14N|1
(OPT)470|R1, R48, R49, R52, R53, R54, R55|Resistor|SMD_0603_RESC1608X55N|7
(OPT)AP1RA03GMT-3|Q6||SMD_SON127P615X520X100-8N|1
(OPT) BAV56|D3||SMD_SOT23_SOT95P240X120-3N|1
(OPT)BSS138|Q7||SMD_SOT23_SOT95P240X120-3N|1
(OPT)BU33TD3WG-TR|U6||SMD_SOT26_SOT95P285X140-5N - DLV|1
(OPT) L7805CD2T-TR|U23||SMD_TO254P1524X483-3_4N_D2PAK + DPAK|1
(OPT) LM7805|U22||SMD_SOIC127P602X173-8N|1
0|R2, R18, R19, R22, R23, R24, R25, R26, R27, R56, R63, R64|Resistor|SMD_0603_RESC1608X55N|12
0|R46, R47, R60|Resistor|SMD_1206_RESC3216X180N|3
1nF|C251, C325|Capacitor|SMD_0603_CAPC1608X80N|2
1uF|C209|Capacitor|SMD_0805_CAPC2012X145N|1
1uF/16V|C252, C311|Capacitor|SMD_0805_CAPC2012X145N|2
2.4k|R37, R38, R45, R61|Resistor|SMD_0603_RESC1608X55N|4
10k|R9, R40, R43, R44, R57, R59|Resistor|SMD_0603_RESC1608X55N|6
10uF/16V|C17, C187, C188, C190, C191, C192, C193, C194, C195, C196, C197, C207, C213, C214, C215, C216, C217, C218, C219, C230, C231, C263, C264, C265, C266, C267, C268, C269, C270, C273, C274, C275, C276, C277, C278, C279, C280, C308|Capacitor|SMD_0805_CAPC2012X145N|38
18pF|C85, C86|Capacitor|SMD_0603_CAPC1608X80N|2
22uF/6.3V|C63, C198, C199, C200, C201, C202, C203, C204, C205, C211, C220, C221, C222, C223, C224, C225, C226, C227, C229, C233, C234, C235, C236, C237, C240, C241, C242, C243, C244, C245, C246, C247, C248, C249, C250, C258, C259, C260, C261, C262, C283, C284, C285, C286, C287, C288, C289, C290, C291, C292, C293, C294, C295, C296, C297, C298, C299, C300, C301, C302, C303, C304, C305, C306, C314, C315, C316, C317, C318, C319, C320, C321, C322, C323, C324|Capacitor|SMD_0805_CAPC2012X145N|75
27|R34, R35|Resistor|SMD_0603_RESC1608X55N|2
100K|R1_1, R1_2, R1_3, R1_4, R1_5, R1_6, R1_7, R1_8, R1_9, R1_10, R1_11, R1_12, R1_13, R1_14, R1_15, R1_16|Resistor|SMD_0603_RESC1608X55N|16
100nF|C34, C72, C73, C74, C75, C76|Capacitor|SMD_0603_CAPC1608X80N|6
100nF/50V|C189, C312|Capacitor|SMD_0805_CAPC2012X145N|2
100pF|C253, C254|Capacitor|SMD_0603_CAPC1608X80N|2
470|R50, R51|Resistor|SMD_0603_RESC1608X55N|2
